time	V(x)	V(z)	-V(yn)
1.806946050112989e+00	2.938520e-01	2.796258e+00	-1.963120e-01
1.807946050112989e+00	2.474954e-01	2.712360e+00	-1.894744e-01
1.808946050112989e+00	2.062820e-01	2.631699e+00	-1.810172e-01
1.809946050112989e+00	1.698435e-01	2.554060e+00	-1.716287e-01
1.810946050112989e+00	1.377883e-01	2.479227e+00	-1.618439e-01
1.811946050112989e+00	1.097173e-01	2.406998e+00	-1.520703e-01
1.812946050112989e+00	8.523566e-02	2.337188e+00	-1.426102e-01
1.813946050112989e+00	6.396130e-02	2.269632e+00	-1.336806e-01
1.814071050112989e+00	6.153444e-02	2.261356e+00	-1.326139e-01
1.814321050112989e+00	5.676673e-02	2.244869e+00	-1.305028e-01
1.814383550112989e+00	5.560679e-02	2.240772e+00	-1.299835e-01
1.814508550112989e+00	5.330774e-02	2.232593e+00	-1.289506e-01
1.814539800112989e+00	5.274075e-02	2.230554e+00	-1.286945e-01
1.814602300112989e+00	5.161191e-02	2.226481e+00	-1.281839e-01
1.814617925112989e+00	5.133161e-02	2.225464e+00	-1.280568e-01
1.814649175112989e+00	5.077229e-02	2.223431e+00	-1.278029e-01
1.814656987612989e+00	5.063294e-02	2.222923e+00	-1.277396e-01
1.814672612612989e+00	5.035455e-02	2.221908e+00	-1.276130e-01
1.814673100894239e+00	5.034586e-02	2.221876e+00	-1.276091e-01
1.814673222964551e+00	5.034369e-02	2.221868e+00	-1.276081e-01
1.814673253482129e+00	5.034315e-02	2.221866e+00	-1.276079e-01
1.814673314517286e+00	5.034206e-02	2.221862e+00	-1.276074e-01
1.814673329776075e+00	5.034179e-02	2.221861e+00	-1.276072e-01
1.814673360293653e+00	5.034125e-02	2.221859e+00	-1.276070e-01
1.814673421328809e+00	5.034016e-02	2.221855e+00	-1.276065e-01
1.814673436587598e+00	5.033989e-02	2.221854e+00	-1.276064e-01
1.814673467105176e+00	5.033934e-02	2.221852e+00	-1.276061e-01
1.814673528140333e+00	5.033826e-02	2.221848e+00	-1.276056e-01
1.814673650210645e+00	5.033609e-02	2.221840e+00	-1.276046e-01
1.814673894351270e+00	5.033175e-02	2.221824e+00	-1.276027e-01
1.814674382632520e+00	5.032306e-02	2.221793e+00	-1.275987e-01
1.814675359195020e+00	5.030568e-02	2.221729e+00	-1.275908e-01
1.814677312320020e+00	5.027094e-02	2.221602e+00	-1.275750e-01
1.814681218570020e+00	5.020149e-02	2.221349e+00	-1.275434e-01
1.814689031070020e+00	5.006270e-02	2.220841e+00	-1.274803e-01
1.814704656070020e+00	4.978561e-02	2.219827e+00	-1.273541e-01
1.814735906070020e+00	4.923331e-02	2.217799e+00	-1.271023e-01
1.814798406070020e+00	4.813620e-02	2.213751e+00	-1.266010e-01
1.814923406070020e+00	4.597173e-02	2.205676e+00	-1.256074e-01
1.815173406070020e+00	4.175930e-02	2.189620e+00	-1.236569e-01
1.815673406070020e+00	3.378169e-02	2.157871e+00	-1.199068e-01
1.816673406070020e+00	1.947211e-02	2.095782e+00	-1.130314e-01
1.817673406070020e+00	7.139527e-03	2.035498e+00	-1.070090e-01
1.818673406070020e+00	-3.486002e-03	1.976935e+00	-1.018484e-01
1.819673406070020e+00	-1.264873e-02	1.920020e+00	-9.754119e-02
1.820673406070020e+00	-2.056831e-02	1.864686e+00	-9.406797e-02
1.821673406070019e+00	-2.744135e-02	1.810876e+00	-9.140282e-02
1.822673406070019e+00	-3.344310e-02	1.758539e+00	-8.951699e-02
1.823673406070019e+00	-3.872939e-02	1.707628e+00	-8.838171e-02
1.824673406070019e+00	-4.343858e-02	1.658100e+00	-8.797037e-02
1.825673406070019e+00	-4.769348e-02	1.609917e+00	-8.826021e-02
1.826673406070019e+00	-5.160331e-02	1.563042e+00	-8.923355e-02
1.827673406070019e+00	-5.526547e-02	1.517442e+00	-9.087878e-02
1.828673406070019e+00	-5.876729e-02	1.473086e+00	-9.319100e-02
1.829673406070019e+00	-6.218770e-02	1.429945e+00	-9.617263e-02
1.830673406070018e+00	-6.559868e-02	1.387992e+00	-9.983388e-02
1.831673406070018e+00	-6.906673e-02	1.347203e+00	-1.041931e-01
1.832673406070018e+00	-7.265416e-02	1.307555e+00	-1.092771e-01
1.833673406070018e+00	-7.642034e-02	1.269028e+00	-1.151217e-01
